,war,타수,득점,안타,2루타,3루타,홈런,타점,도루성공,도루실패,4구,사구,고의4구,삼진,병살타,희생타,희생플라이,타율,출루율,장타율,R/ePA,wRC+,rangeRAA,종합 RAA,WAAwoPOS
7089,-0.15,49.0,16.0,8.0,1.0,0.0,1.0,4.0,6.0,3.0,2.0,1.0,0.0,21.0,1.0,0.0,0.0,0.163,0.212,0.245,-0.161,-11.1,1.21,1.05,0.091
7090,-0.15,160.0,21.0,45.0,11.0,0.0,2.0,22.0,0.0,0.0,12.0,4.0,1.0,19.0,2.0,2.0,4.0,0.281,0.339,0.388,-0.041,74.4,-5.31,-5.11,-0.441
7092,-0.16,30.0,5.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,1.0,1.0,0.167,0.212,0.267,-0.158,-6.3,0.13,0.2,0.017
7093,-0.16,123.0,17.0,32.0,6.0,0.0,3.0,7.0,6.0,2.0,12.0,0.0,0.0,37.0,5.0,0.0,0.0,0.26,0.326,0.382,-0.05,67.8,0.86,0.17,0.015
7094,-0.17,41.0,3.0,8.0,1.0,0.0,0.0,4.0,1.0,0.0,5.0,0.0,0.0,12.0,1.0,1.0,0.0,0.195,0.283,0.22,-0.083,45.4,-3.14,-1.31,-0.113
7095,-0.18,18.0,1.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.167,0.273,0.222,-0.12,18.3,0.0,-0.91,-0.078
7098,-0.21,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.167,0.231,0.167,-0.162,-11.7,0.0716424458803067,0.0229052029770957,0.0029643161954767
7099,-0.21,20.0,2.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.15,0.261,0.3,-0.113,22.6,0.0,-0.38,-0.033
7100,-0.22,43.0,6.0,8.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,19.0,1.0,0.0,0.0,0.186,0.222,0.256,-0.138,4.9,0.29,-0.07,-0.006
7101,-0.25,12.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.167,0.167,0.167,-0.22,-53.7,-1.51,-1.49,-0.129
7104,-0.25,40.0,4.0,10.0,2.0,0.0,0.0,5.0,0.0,1.0,5.0,0.0,0.0,9.0,3.0,0.0,0.0,0.25,0.333,0.3,-0.064,57.7,0.0587127965956668,0.0146872323168319,0.0021637195629356
7105,-0.26,45.0,8.0,9.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,0.0,19.0,2.0,2.0,0.0,0.2,0.234,0.289,-0.139,8.2,-0.47,-0.46,-0.04
7106,-0.29,29.0,16.0,8.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.276,0.276,0.276,-0.125,14.6,-1.32,-1.66,-0.143
7107,-0.29,83.0,19.0,16.0,5.0,0.0,1.0,8.0,2.0,2.0,7.0,4.0,0.0,16.0,3.0,4.0,0.0,0.193,0.287,0.289,-0.061,62.0,0.53,0.73,0.063
7108,-0.3,90.0,8.0,22.0,5.0,0.0,0.0,9.0,0.0,0.0,1.0,4.0,0.0,18.0,7.0,2.0,2.0,0.244,0.278,0.3,-0.095,36.9,2.21,2.11,0.183
7109,-0.31,306.0,45.0,93.0,11.0,2.0,5.0,36.0,1.0,0.0,28.0,0.0,1.0,32.0,5.0,6.0,4.0,0.304,0.358,0.402,-0.025,86.3,-12.56,-13.18,-1.138
7110,-0.31,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.083,0.154,0.083,-0.232,-62.1,0.0833985099963833,0.0257629638968229,0.0033586067316374
